Aldebaran,alTau № 1
Hyadum I,gaTau № 885
Secunda Hyadum,de-1Tau № 886
Hyadum II,de-1Tau № 887
Ain,epTau № 888
Al Hecka,zeTau № 889
Alcyone,etTau № 890
,ioTau № 891
,laTau № 892
,muTau № 893
,nuTau № 894
,xiTau № 895
,omiTau № 896
,taTau № 897
,rhTau № 898
,ome-1Tau № 899
Caleano,16Tau № 900
Electra,17Tau № 901
Taygeta,19Tau № 902
Maia,20Tau № 903
Asterope,21Tau № 904
Sterope I,21Tau № 905
Sterope II,22Tau № 906
Merope,23Tau № 907
Atlas,27Tau № 908

# Telescopium   Телескоп

,alTel № 909
,epTel № 910
,ioTel № 911
,laTel № 912
,nuTel № 913
,xiTel № 914

# Triangulum Australe Южный треугольник

Atria,alTrA № 915
,beTrA № 916
,gaTrA № 917
,deTrA № 918
,epTrA № 919
,zeTrA № 920

# Triangulum   Треугольник

Ras Mutallah,alTri № 921
Metallah,alTri № 922
,beTri № 923
,gaTri № 924

# Tucana   Тукан

,alTuc № 925
,gaTuc № 926
,epTuc № 927
,zeTuc № 928
,ioTuc № 929
,la-2Tuc № 930

# Ursa Major Большая Медведица

Dubhe,alUMa № 931
Merak,beUMa № 932
Phecda,gaUMa № 933
Megrez,deUMa № 934
Alioth,epUMa № 935
Mizar,zeUMa № 936
Alkaid,etUMa № 937
Benetnash,etUMa № 938
Al Haud,thUMa № 939
Talitha Borealis,ioUMa № 940
Talitha Australis,kaUMa № 941
Tania Borealis,laUMa № 942
Tania Australis,muUMa № 943
Alula Borealis,nuUMa № 944
Alula Australis,xiUMa № 945
Muscida,omiUMa № 946
,rhUMa № 947
,upUMa № 948
El Kophrah,chUMa № 949
,psUMa № 950
Alcor,80Uma № 951
Saidak,80Uma № 952

# Ursa Minor  Малая Медведица

Polaris,alUMi № 953
Kochab,beUMi № 954
Pherkad,gaUMi № 955
Yildun,deUMi № 956
,epUMi № 957
,zeUMi № 958
,etUMi № 959
,laUMi № 960
Pherkad Minor,11UMi № 961

# Vela Парус

Suhail al Muhlif,ga-2Vel № 962
Regor,ga-2Vel № 963
Markeb,kaVel № 964
Alsuhail,laVel № 965
Suhail,laVel № 966
,omiVel № 967
Tseen Ke,phVel № 968

# Virgo    Дева

Spica,alVir № 969
Zavijava,beVir № 970
Alaraph,beVir № 971
Porrima,gaVir № 972
Auva,deVir № 973
Vindemiatrix,epVir № 974
Heze,zeVir № 975
Zaniah,etVir № 976
,thVir № 977
Syrma,ioVir № 978
,kaVir № 979
Khambalia,laVir № 980
Rijl al Awwa,muVir № 981
Ril Alauva,muVir № 982
,nuVir № 983
,omiVir № 984
,piVir № 985
,rhVir № 986
,siVir № 987
,taVir № 988
,phVir № 989
,chVir № 990
,psVir № 991

# Volans  Летучая Рыба

,alVol № 992
,beVol № 993
,ga-2Vol № 994
,deVol № 995
,zeVol № 996
,ioVol № 997

#Vulpecula Лисичка

Anser,alVul № 998
AA_page_B40, № 999
AA06_page_B65, № 1000
Tycho 2,xxx № 1001
